date_time,time_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp,p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.02.17 12:18:11,0.03,106.42,100.94,94.04,100.94,92.94,100.75,100.19,99.81,104.9,102.44,No Sensor,88.72,106.8,102.07,102.82,102.63,92.2,105.09,107.38,89.09,102.07,100,100.94,102.07,20,976,0,18.88,
13.02.17 12:18:26,0.28,107.38,103.39,95.15,102.07,94.41,102.07,100.38,100.38,104.9,103.39,No Sensor,88.9,106.42,101.13,102.26,102.82,92.38,104.71,107.18,88.72,100.94,98.5,99.06,101.69,20,976,0,18.89,
13.02.17 12:18:41,0.53,107.18,101.31,95.15,100.75,93.31,101.69,99.63,99.25,105.85,102.82,No Sensor,88.36,106.42,101.5,102.07,101.31,91.65,104.71,106.42,90.18,100.56,97.38,99.25,100.94,20,976,0,18.91,
13.02.17 12:18:56,0.78,106.99,102.82,95.53,102.07,94.41,101.5,101.69,101.31,105.28,102.63,No Sensor,89.45,108.33,100.94,103.77,102.44,93.12,104.71,106.23,89.82,101.13,99.06,100,102.63,20,976,0,18.95,
13.02.17 12:19:11,1.03,106.8,104.14,94.97,101.69,94.41,102.63,101.88,100.75,106.04,102.82,No Sensor,90.18,108.71,101.5,103.2,103.01,93.86,103.77,106.8,90,100.56,100.56,99.44,102.44,20,976,0,18.97,
13.02.17 12:19:26,1.28,107.18,103.39,95.34,101.13,93.68,101.69,101.69,102.07,106.8,102.44,No Sensor,90.73,108.9,100.75,104.52,102.26,93.31,103.77,106.23,90,100.75,101.31,99.06,102.44,20,976,0,18.98,
13.02.17 12:19:41,1.53,106.61,103.2,95.71,102.07,94.41,102.26,102.82,102.63,107.38,102.82,No Sensor,90.73,108.52,101.31,105.09,102.44,94.6,104.71,107.18,91.28,100.75,101.69,99.25,103.2,20,976,0,19,
13.02.17 12:19:56,1.78,107.18,103.2,95.9,101.88,95.34,103.01,102.07,102.82,107.18,102.07,No Sensor,90.92,109.67,101.69,105.09,101.69,94.23,103.77,106.99,91.1,100.56,101.31,98.88,103.77,20,976,0,19.02,
13.02.17 12:20:11,2.03,106.99,103.95,96.27,101.69,94.78,102.44,102.63,102.63,106.99,102.26,No Sensor,90.73,110.25,101.5,105.66,102.26,94.41,104.52,106.42,91.28,100.56,101.88,99.06,104.14,20,976,0,19.04,
13.02.17 12:20:26,2.28,105.85,103.39,96.64,100.94,94.78,103.01,102.82,103.2,106.8,102.07,No Sensor,91.65,110.82,101.31,105.09,101.88,94.6,104.52,107.38,91.65,100.19,101.5,99.44,105.47,20,976,0,19.05,
13.02.17 12:20:41,2.53,106.8,104.33,95.71,102.63,94.97,103.01,103.77,103.58,108.14,102.07,No Sensor,92.57,110.44,100.94,106.99,101.88,95.34,105.28,106.61,91.65,100.56,102.82,99.81,104.33,20,976,0,19.09,
