Date/Time,Time/Min.,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
17.02.17 18:16:30,0.03,7.08,6.1,5.7,4.44,6.2,5.27,7.7,6.83,6.72,7.05,5.99,7.11,6.15,No Sensor,6.86,6.71,5.17,6.76,7.08,5.84,5.71,5.84,6.87,6.47,,19,976,30,18.95,
17.02.17 18:16:45,0.28,7.07,6.08,5.7,4.45,6.21,5.25,7.69,6.82,6.7,7.07,5.89,7.11,6.11,No Sensor,6.84,6.64,5.14,6.76,7.03,5.8,5.7,5.85,6.83,6.49,,19,976,30,18.95,
17.02.17 18:17:00,0.53,7.08,6.1,5.67,4.44,6.16,5.27,7.7,6.79,6.68,7.04,5.97,7.08,6.11,No Sensor,6.83,6.67,5.13,6.76,7.03,5.81,5.71,5.84,6.91,6.46,,19,976,30,18.95,
17.02.17 18:17:15,0.78,7.09,6.1,5.65,4.42,6.17,5.27,7.72,6.82,6.67,7.04,5.95,7.11,6.08,No Sensor,6.84,6.67,5.12,6.78,7.04,5.81,5.67,5.83,6.86,6.47,,19,976,30,18.95,
17.02.17 18:17:31,1.05,7.09,6.1,5.71,4.46,6.17,5.29,7.72,6.8,6.67,6.99,5.92,7.07,6.08,No Sensor,6.82,6.63,5.09,6.72,6.97,5.72,5.6,5.71,6.79,6.38,,19,976,30,18.95,
17.02.17 18:17:45,1.28,6.96,6.2,5.52,4.35,6.16,5.25,7.72,6.47,6.47,7,5.57,7.2,5.83,No Sensor,6.76,6.41,5.05,6.68,6.97,5.6,5.47,5.76,6.72,6.26,,19,976,30,18.93,
17.02.17 18:18:01,1.55,7.09,6.11,5.67,4.49,6.19,5.29,7.69,6.66,6.68,7.04,5.97,7.09,6.15,No Sensor,6.96,6.63,5.13,6.67,7,5.71,5.65,5.74,6.68,6.33,,19,976,30,18.93,
17.02.17 18:18:15,1.78,7.09,6.04,5.76,4.39,6.2,5.38,7.65,6.74,6.68,6.9,5.85,7.07,6.03,No Sensor,6.9,6.63,4.99,6.66,7.04,5.6,5.55,5.79,6.58,6.37,,19,976,30,18.95,
17.02.17 18:18:31,2.05,7.07,6.1,5.71,4.49,6.2,5.28,7.74,6.8,6.67,7.07,5.83,6.96,6.04,No Sensor,6.92,6.59,4.98,6.71,7.04,5.67,5.57,5.81,6.7,6.32,,19,976,30,18.95,
17.02.17 18:18:46,2.3,7.24,6.2,5.83,4.58,6.28,5.24,7.66,6.66,6.6,6.91,5.88,7.15,6.2,No Sensor,6.96,6.62,4.97,6.6,6.86,5.56,5.47,5.69,6.6,6.37,,19,976,30,18.95,
