date_time,time_min,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,temp,p [mbar],Salinity [g/1000g],T_internal [°C],Error
13.02.17 15:49:15,0.03,13.56,13.94,11.94,13.9,12.12,14.12,13.63,12.67,14.46,13.75,No Sensor,11.42,15.08,13.44,14.61,13.73,11.73,14.26,13.87,12.1,13,14.19,12.6,14.04,24,976,0,23.52,
13.02.17 15:49:30,0.28,13.58,13.99,11.94,13.85,12.08,14.19,13.7,12.79,14.63,13.87,No Sensor,11.4,14.78,13.29,14.63,13.56,11.84,14.34,13.8,12.08,12.86,14.26,12.69,14.34,24,976,0,23.52,
13.02.17 15:49:45,0.53,13.46,13.63,11.61,13.58,11.98,14.14,13.63,12.79,14.73,13.94,No Sensor,11.35,14.68,13.03,14.43,13.44,11.63,14.19,13.87,12.22,12.86,14.09,12.38,14.14,24,976,0,23.53,
13.02.17 15:50:00,0.78,13.46,14.04,11.98,13.9,12.17,14.21,13.77,12.93,14.76,13.94,No Sensor,11.56,15,13.41,14.76,13.7,11.87,14.31,13.8,12.08,12.74,14.21,12.55,14.29,24,976,0,23.53,
13.02.17 15:50:15,1.03,13.46,13.94,11.89,13.75,12.01,14.09,13.58,12.79,14.58,13.77,No Sensor,11.61,14.85,13.29,14.71,13.65,11.91,14.39,13.87,12.2,12.95,14.34,12.72,14.46,24,976,0,23.52,
13.02.17 15:50:30,1.28,13.53,14.14,12.08,13.82,12.17,14.19,13.73,12.88,14.73,13.87,No Sensor,11.56,15.03,13.31,14.78,13.7,11.96,14.43,13.87,12.31,12.93,14.26,12.64,14.43,24,976,0,23.52,
13.02.17 15:50:45,1.53,13.6,14.12,12.1,13.92,12.29,14.31,13.87,12.95,14.83,13.92,No Sensor,11.66,15,13.48,14.98,13.73,12.1,14.43,13.92,12.22,12.88,14.34,12.64,14.48,24,976,0,23.52,
13.02.17 15:51:00,1.78,13.48,14.04,12.01,13.8,12.17,14.31,13.77,12.91,14.83,13.8,No Sensor,11.56,15.03,13.31,14.85,13.65,12.15,14.43,13.97,12.27,12.86,14.36,12.48,14.43,24,976,0,23.52,
13.02.17 15:51:15,2.03,13.51,14.02,12.01,13.75,12.31,14.21,13.85,13,14.95,13.99,No Sensor,11.8,15.3,13.44,15.03,13.7,12.17,14.43,13.82,12.34,12.79,14.34,12.53,14.43,24,976,0,23.52,
13.02.17 15:51:30,2.28,13.53,14.07,12.01,13.75,12.24,14.09,13.85,12.91,14.8,13.92,No Sensor,11.68,15.15,13.31,14.88,13.65,12.12,14.34,13.75,12.29,12.72,14.36,12.5,14.41,24,976,0,23.52,
